Loci,Mix,Rack,Treatment,Well,ID,Row,Match,Missing,Nanodrop
Hg.8.10,mix1,R154,Internal control,95,AGP20091,H,1,1,154.5
Hg.8.10,mix1,R154,Internal control,96,AGP20092,H,1,1,364.5
Hg.1.3,mix1,R154,Internal control,1,AGP16295,A,1,1,596
Hg.1.3,mix1,R154,Internal control,2,AGP16296,A,1,1,80
Hg.1.3,mix1,R154,Internal control,3,AGP16297,A,1,1,106
Hg.1.3,mix1,R154,Internal control,4,AGP07487,A,1,0,558.5
Hg.1.3,mix1,R154,Internal control,5,AGP07488,A,1,0,460.5
Hg.1.3,mix1,R154,Internal control,6,AGP20001,A,1,1,279
Hg.1.3,mix1,R154,Internal control,7,AGP20002,A,1,1,318.5
Hg.1.3,mix1,R154,Internal control,8,AGP20003,A,1,1,48.5
Hg.1.3,mix1,R154,Internal control,9,AGP20004,A,1,1,341.5
Hg.1.3,mix1,R154,Internal control,10,AGP20005,A,1,0,232.5
Hg.1.3,mix1,R154,Internal control,11,AGP20006,A,1,1,198.5
Hg.1.3,mix1,R154,Internal control,12,AGP20007,A,1,1,306.5
Hg.1.3,mix1,R154,Internal control,13,AGP20008,B,1,1,155
Hg.1.3,mix1,R154,Internal control,14,AGP20009,B,1,0,143
Hg.1.3,mix1,R154,Internal control,15,AGP20010,B,1,1,226
Hg.1.3,mix1,R154,Internal control,16,AGP20011,B,1,1,314
Hg.1.3,mix1,R154,Internal control,17,AGP20012,B,1,1,358
Hg.1.3,mix1,R154,Internal control,18,AGP20013,B,1,1,287
Hg.1.3,mix1,R154,Internal control,19,AGP20014,B,1,1,482.5
Hg.1.3,mix1,R154,Internal control,20,AGP20015,B,1,1,279.5
Hg.1.3,mix1,R154,Internal control,21,AGP20016,B,1,1,204
Hg.1.3,mix1,R154,Internal control,22,AGP20017,B,1,1,107.5
Hg.1.3,mix1,R154,Internal control,23,AGP20018,B,1,1,395
Hg.1.3,mix1,R154,Internal control,24,AGP20019,B,1,1,380.5
Hg.1.3,mix1,R154,Internal control,25,AGP20020,C,1,1,395
Hg.1.3,mix1,R154,Internal control,26,AGP20021,C,1,1,200
Hg.1.3,mix1,R154,Internal control,27,AGP20022,C,1,1,340.5
Hg.1.3,mix1,R154,Internal control,28,AGP20024,C,1,1,212.5
Hg.1.3,mix1,R154,Internal control,29,AGP20025,C,1,1,360
Hg.1.3,mix1,R154,Internal control,30,AGP20026,C,1,1,292
Hg.1.3,mix1,R154,Internal control,31,AGP20027,C,1,1,78.5
