V1,V2,Rack_2,Treatment
D05_AGP20230,mix2.ZcwDhB.14_b,R156_R4,Re-used PCR plate
H01_AGP20275,mix2.ZcwDhB.14_b,R156_R4,Re-used PCR plate
H01_AGP20275,mix3.Ag7_a,R156_R4,Re-used PCR plate
H02_AGP20276,mix3.Ag.10_a,R156_R4,Re-used PCR plate
H02_AGP20276,mix3.Ag.10_b,R156_R4,Re-used PCR plate
C08_AGP20221,mix3.Ag1_a,R156_R4,Re-used PCR plate
H08_AGP20283,mix3.Ag1_a,R156_R4,Re-used PCR plate
G02_AGP20263,mix3.Ag1_b,R156_R4,Re-used PCR plate
H08_AGP20283,mix3.Ag1_b,R156_R4,Re-used PCR plate
H02_AGP20276,mix3.OrrFCB8_a,R156_R4,Re-used PCR plate
G02_AGP20263,mix3.OrrFCB8_b,R156_R4,Re-used PCR plate
H02_AGP20276,mix3.OrrFCB8_b,R156_R4,Re-used PCR plate
D05_AGP20230,mix4.ZcwCgDh1.8_a,R156_R4,Re-used PCR plate
H09_AGP20284,mix5.X962.1_a,R156_R4,Re-used PCR plate
H12_AGP20287,mix5.X962.1_a,R156_R4,Re-used PCR plate
F10_AGP20259,mix5.X962.1_b,R156_R4,Re-used PCR plate
G12_AGP20274,mix5.X962.1_b,R156_R4,Re-used PCR plate
H10_AGP20285,mix5.X554.6_a,R156_R4,Re-used PCR plate
H10_AGP20285,mix5.X554.6_b,R156_R4,Re-used PCR plate
A07_AGP20196,mix5.PvcE_a,R156_R4,Re-used PCR plate
C02_AGP20215,mix5.PvcE_a,R156_R4,Re-used PCR plate
H01_AGP20275,mix5.PvcE_a,R156_R4,Re-used PCR plate
A07_AGP20196,mix5.PvcE_b,R156_R4,Re-used PCR plate
H01_AGP20275,mix5.PvcE_b,R156_R4,Re-used PCR plate
H10_AGP20285,mix5.ZcwB09_a,R156_R4,Re-used PCR plate
C08_AGP20221,mix5.Agaz10_a,R156_R4,Re-used PCR plate
D05_AGP20230,mix5.Agaz10_a,R156_R4,Re-used PCR plate
H10_AGP20285,mix5.Agaz10_a,R156_R4,Re-used PCR plate
D05_AGP20230,mix5.Agaz10_b,R156_R4,Re-used PCR plate
H10_AGP20285,mix5.Agaz10_b,R156_R4,Re-used PCR plate
